theme;unk_words;line;line_percent
;;Bonjour à toutes et à tous, où que vous soyez sur la planète, merci d'écouter Radio France Internationale, 17 h à Paris, 16 h temps universel.;1.0
;;Journal.;1.0
;;Adrien Delgrange.;1.0
;;Avec Mayeul De Charon.;1.0
;;Bonjour Mayeul.;1.0
;;Bonjour Adrien et bonjour à tous.;1.0
;;Nous sommes le mercredi 23 novembre, à la une de cette édition.;1.0
;"""robinet"",";Il n'y a plus d'eau au robinet, plus d'électricité dans une grande partie de l'Ukraine.;0.9473684210526315
;;C'est la conséquence des derniers bombardements russes sur la capitale ukrainienne notamment.;1.0
;"""maire"", ""abris"",";Le maire de Kiev appelle la population à rester dans des abris, à se protéger des bombes.;0.8947368421052632
;;Nous appelons dans un instant notre correspondant.;1.0
;"""député"",";En France, un député est accusé par sa femme d'être très violent.;0.9285714285714286
;;Explications à suivre.;1.0
;;Et puis nous parlerons de sport de la Coupe du monde de football.;1.0
;;L'Allemagne se fait surprendre par le Japon.;1.0
;;Les Allemands battus par les Japonais.;1.0
;"""buts"",";Deux buts à un.;0.8
;;Un match de foot marqué par une image.;1.0
;;Une image très forte.;1.0
;;Les Allemands ont posé une main sur leur bouche avant le début du match.;1.0
;;On vous explique pourquoi à la fin du journal.;1.0
;"""blessés"",";La guerre en Ukraine et de nouveaux bombardements russes, bombardements qui ont fait au moins trois morts et six blessés à Kiev.;0.9583333333333334
;"""visé"",";L'armée russe a visé aujourd'hui avec ses bombes des infrastructures énergétiques.;0.9166666666666666
;;Stéphane Siohan, Bonjour!;1.0
;;Bonjour!;1.0
;"""déconnectées"",";Correspondant régional de Radio France Internationale, Stéphane, trois centrales nucléaires ukrainiennes ont été déconnectées, conséquence?;0.9473684210526315
;;Plus d'électricité dans une grande partie du pays.;1.0
;"""retentit"",";Et oui, et tout ça a commencé à Kiev en début d'après-midi où au moins quatre explosions ont retentit dans la capitale ukrainienne.;0.96
;;À peine 1 h après la reconnaissance par le Parlement européen de la Fédération de Russie comme État terroriste.;1.0
;"""croisière"", ""déclenchant"",";Des missiles de croisière ont de nouveau été tirés vers la capitale, déclenchant les sirènes antiaérienne.;0.8888888888888888
;"""usines"", ""situées"", ""quartiers"", ""banlieue"",";"Et selon nos premières informations, au moins deux centrales électriques ont été frappées des usines de production d'électricité situées à

Darnitsa et Vinobitsi des quartiers à la

densité de population assez forte en banlieue de Kiev.";0.8947368421052632
;"""immeuble"", ""d'habitation"", ""bilan"", ""provisoire"", ""blessés"",";Des projectiles ont également atteint un immeuble d'habitation et selon un bilan provisoire, trois civils ont été tués et six blessés.;0.782608695652174
;"""quartiers"", ""maire"", ""interrompue"",";Très vite, plusieurs quartiers ont été coupés d'électricité et le maire de la ville, Vitali Klitschko, a indiqué que la distribution d'eau était interrompue, appelant la population à faire des réserves.;0.9166666666666666
;"""entraîné"", ""fréquence"", ""réseau"", ""déconnectées"",";Autre conséquence de ces frappes qui ont entraîné une baisse de fréquence dans le réseau électrique, trois centrales ont du pays ont dû être déconnectées des centrales nucléaires.;0.8666666666666667
;"""s'installe"",";Et enfin, cette nouvelle frappe intervient alors que l'hiver s'installe.;0.9166666666666666
;"""neige"",";cet après-midi, il fait -3 degrés et il neige sur la capitale ukrainienne.;0.9333333333333333
;;Stéphane Siohan en direct dans le Journal en français facile, correspondant régional de Radio France Internationale.;1.0
;;"Et puis à noter Adrien que le président français va une nouvelle fois parler au président russe

Emmanuel Macron annonce qu'il aura un « contact direct » avec Vladimir Poutine, et ce, « dans les prochains jours » pour notamment parler de la centrale nucléaire de Zaporijia centrale nécessaire pour avoir accès à l'électricité en Ukraine.";1.0
;"""piraté"",";Et puis nous avons appris il y a moins d'une heure que le site internet du Parlement européen a été piraté.;0.9545454545454546
;"""cible"", ""informatique"",";Il a été la cible aujourd'hui d'une attaque informatique.;0.8
;"""inaccessible"",";Le site est inaccessible à l'heure actuelle.;0.875
;"""eurodéputés"", ""qualifiant"", ""d'états"",";"Hasard ou coïncidence, cette cyberattaque intervient peu après un vote des eurodéputés, qualifiant la Russie « d'États faisant la promotion du terrorisme.»

RFI à Paris à 17 h 04 en France.";0.9142857142857143
;"""témoignage"", ""accablant"", ""député"", ""insoumise"", ""épouse"",";"C'est un témoignage accablant, embarrassant pour Adrien Quatennens

Le jeune député de la France insoumise est accusé par son épouse d'être violent physiquement et moralement, c'est à dire de la frapper et de très mal lui parler, et ce depuis des années.";0.8913043478260869
;;Céline Quatennens l'a dit ce matin à l' AFP l'Agence France Presse.;1.0
;"""témoignage"",";Julien Chavanne Ce témoignage complique encore un peu plus le retour d'Adrien Quatennens à l'Assemblée nationale.;0.9411764705882353
;;Ce n'était plus qu'une question de jours.;1.0
;"""cadres"", ""insoumise"",";Les cadres de la France insoumise avaient commencé à préparer les esprits.;0.8461538461538461
;"""l'hémicycle"",";Adrien Quatennens allait revenir dans l'hémicycle.;0.8571428571428571
;"""n'empêchait"", ""député"",";Rien n'empêchait plus le député de le faire.;0.7777777777777778
;;Après deux mois de mise au vert.;1.0
;"""congé"",";Son congé maladie avait pris fin.;0.8571428571428571
;"""percuter"",";Mais les mots de Céline Quatennens viennent percuter la ligne de défense de son mari.;0.9375
;"""s'agit"", ""gifle"",";Non, explique-t-elle, il ne s'agit pas d'une seule gifle, une seule fois, en plein divorce, comme l'a raconté Adrien Quatennens.;0.9285714285714286
;"""carrément"", ""loué"", ""protégé"",";Une version pourtant reprise telle quelle par tout l'état-major LFI, Jean-Luc Mélenchon avait carrément loué le courage et la dignité de son protégé.;0.88
;"""lynchage"", ""député"",";Il est même allé jusqu'à dénoncer un lynchage du député.;0.8461538461538461
;"""choquants"", ""témoignage"",";Des propos encore plus choquants à la lecture de ce témoignage.;0.8333333333333334
;"""piège"", ""soutenu"", ""coûte"", ""coûte"",";La direction de LFI se retrouve prise au piège pour avoir soutenu coûte que coûte Adrien Quatennens.;0.7777777777777778
;"""crée"", ""malaise"", ""sein"", ""sein"",";Son retour à l'Assemblée crée déjà un malaise au sein du parti et même au sein des autres formations de la NUPES.;0.8260869565217391
;"""désormais"", ""prochainement"", ""député"", ""l'hémicycle"",";Difficile désormais d'imaginer revoir prochainement le député dans l'hémicycle, Julien Chavanne.;0.6923076923076923
;"""désormais"",";Et puis une réaction politique, celle d'Olivier Faure, le retour d'Adrien Quatennens à l'Assemblée nationale, le Parlement, est désormais impossible, a estimé le premier secrétaire du Parti socialiste.;0.9705882352941176
;"""l'avocate"", ""dément"", ""réfute"", ""épouse"",";Et puis, à l'instant, l'avocate d'Adrien Quatennens, dément, réfute catégoriquement les accusations de son épouse.;0.8
;"""tremblement"", ""recherches"", ""d'éventuels"",";"Le Journal en français facile

Après le tremblement de terre qui a frappé l'Indonésie il y a deux jours, les recherches d'éventuels survivants se compliquent.";0.8888888888888888
;"""séisme"", ""rappel"",";Le séisme Mayeul, pour rappel, a touché lundi l'île de Java et a déjà fait au moins 271 morts.;0.9090909090909091
;"""coincées"", ""décombres"", ""habitations"", ""vivantes"",";Mais des personnes coincées dans les décombres, les restes des habitations pourraient être encore vivantes.;0.7647058823529411
;;Les Indonésiens sont inquiets.;1.0
;"""recherches"", ""secousses"", ""répliques"", ""séisme"", ""recherches"", ""répliques"",";Ils demandent aux autorités d'accélérer les recherches, mais la pluie et de nouvelles secousses, des répliques du séisme compliquent les recherches, il y aurait eu 171 répliques depuis lundi dernier.;0.8235294117647058
;;Les conséquences du réchauffement climatique sur la planète maintenant.;1.0
;;Exemple en Australie.;1.0
;"""inondations"", ""incendies"",";L'Australie, le pays qui rencontre de plus en plus d'événements climatiques, de catastrophes naturelles, que ce soit des tempêtes violentes, de graves inondations ou encore d'importants incendies.;0.9375
;"""augmenté"",";En un peu plus d'un siècle, les températures ont augmenté en Australie d'1,5 degrés Celsius.;0.9473684210526315
;"""étude"", ""climatologues"", ""étudient"",";Et c'est un rapport, une étude gouvernementale qui le dit aujourd'hui, les climatologues, ceux qui étudient le climat, sont très inquiets pour le futur.;0.896551724137931
;"""sonnette"",";Ils tirent même la sonnette d'alarme.;0.8571428571428571
;;Lucile Gimbert.;1.0
;"""écarlate"", ""dizaines"", ""déplacés"", ""calcinés"",";Un ciel écarlate, des dizaines de milliers de déplacés et des koalas calcinés.;0.7333333333333333
;"""incendies"", ""l'ampleur"",";Les images des incendies gigantesques de 2019 et 2020 ont réveillé l'Australie sur l'ampleur des événements climatiques qui nous attendent avec le réchauffement de la planète.;0.9259259259259259
;"""constate"",";Et ce nouveau rapport gouvernemental confirme ce que la population constate depuis plusieurs années, Ailie Gallant est scientifique du climat à Melbourne.;0.9583333333333334
;"""hausse"",";« A travers toute l'Australie, nous avons observé de forte hausse des températures, des vagues de chaleur plus fréquentes.;0.9545454545454546
;;Il pleut beaucoup moins, en particulier dans le sud ouest du pays.;1.0
;"""neige"",";Nous avons moins de neige.;0.8333333333333334
;"""fortement"", ""augmenté"", ""affectant"", ""s'acidifient"",";La température des océans a fortement augmenté, affectant la vie marine et les océans s'acidifient.;0.7647058823529411
;"""s'accélèrent"", ""réduire"", ""hausse"", ""globale"", ""climatologue"",";» Des changements qui s'accélèrent, l'Australie doit donc réduire drastiquement ses émissions de CO2 responsables de la hausse globale des températures, estime le climatologue Ian Lowe.;0.8275862068965517
;;« Les choses sont en train de changer avec des objectifs plus ambitieux de réduction des émissions de gaz carbonique.;1.0
;"""freiner"",";Mais le gouvernement fait encore trop peu pour freiner nos exportations d'énergies fossiles.;0.9285714285714286
;"""charbon"", ""usage"", ""promesse"", ""nette"",";"Ces exportations de gaz et de charbon contribuent pourtant beaucoup plus au changement climatique que notre usage domestique des énergies »

Les scientifiques appellent le nouveau gouvernement de centre gauche à aller plus loin que sa promesse de zéro émission nette en 2050.";0.9090909090909091
;"""l'actualité"",";"En sport, l'actualité, c'est la Coupe du monde de football au Qatar, avec quelques résultats cette après-midi

Espagne - Costa-Rica Rica, en ce moment, après neuf minutes de jeu, zéro zéro.";0.9736842105263158
;"""nul"",";Un peu plus tôt dans la journée, le Maroc et la Croatie match nul zéro zéro.;0.9444444444444444
;"""buts"",";Les Allemands ont été battus par les Japonais deux buts à un.;0.9230769230769231
;;Ce soir Belgique - Canada.;1.0
;;C'est à 19 h. Enfin une image forte au Mondial, juste avant le début du match entre l'Allemagne et le Japon.;1.0
;"""bâillonnés"",";Les joueurs allemands ont mis leur main devant la bouche, comme bâillonnés.;0.9285714285714286
;"""interdit"", ""brassard"", ""brassard"", ""coloré"", ""synonyme"",";Un signe de protestation car la FIFA leur avait interdit de porter un brassard, un brassard coloré autour du bras, synonyme de défense des droits humains.;0.8275862068965517
;;C'est la fin de ce journal.;1.0
;;Merci à vous de l'avoir écouté.;1.0
